id,author_year,title,source_type,abstract_or_note,domain,relevance_note
1,"Adadi and Berrada (2018)","Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence","Journal article","Survey note describing explainable AI as a response to black box machine learning and the need for transparency, interpretability, and trust.","Explainable AI","Useful for defining XAI and its conceptual foundations."
2,"Molnar (2022)","Interpretable Machine Learning","Book","Introduces interpretable machine learning methods including feature importance, partial dependence, surrogate models, and model-specific interpretation.","Interpretable machine learning","Supports discussion of interpretable models and post-hoc methods."
3,"Ribeiro et al. (2016)","Why Should I Trust You? Explaining the Predictions of Any Classifier","Conference paper","Presents LIME as a post-hoc local surrogate explanation method intended to help users understand individual model predictions.","Post-hoc explanation","Relevant for methods, opportunities, and user trust."
4,"Lundberg and Lee (2017)","A Unified Approach to Interpreting Model Predictions","Conference paper","Introduces SHAP as a feature attribution method connecting model explanations with game-theoretic reasoning.","Post-hoc explanation","Relevant for XAI methods and practical interpretation of model outputs."
5,"Arrieta et al. (2020)","Explainable Artificial Intelligence: Concepts, Taxonomies, Opportunities and Challenges","Journal article","Discusses XAI concepts, taxonomies, opportunities, and challenges in intelligent systems, including transparency and trustworthiness.","Explainable AI","Useful for broad thesis framing across definitions, opportunities, and limitations."
6,"Doshi-Velez and Kim (2017)","Towards a Rigorous Science of Interpretable Machine Learning","Working paper","Argues for clearer evaluation practices for interpretability and distinguishes different evaluation settings and user needs.","XAI evaluation","Supports challenge and evaluation discussion."
7,"Miller (2019)","Explanation in Artificial Intelligence: Insights from the Social Sciences","Journal article","Highlights that explanations should consider human reasoning, contrastive explanation, and stakeholder understanding.","Human-centered XAI","Relevant for human-centered XAI and communication."
8,"Amann et al. (2020)","Explainability for Artificial Intelligence in Healthcare","Journal article","Discusses healthcare AI, clinicians, patient safety, accountability, and the limits of explanation in clinical decision support.","Healthcare AI","Supports practical implications in high-risk healthcare contexts."
9,"Goodman and Flaxman (2017)","European Union Regulations on Algorithmic Decision-Making and a Right to Explanation","Journal article","Connects transparency, accountability, governance, and legal debates around automated decision-making.","Governance and Trustworthy AI","Relevant for governance, accountability, and trustworthy AI."
10,"Rudin (2019)","Stop Explaining Black Box Machine Learning Models for High Stakes Decisions","Journal article","Critiques reliance on post-hoc explanations in high-stakes settings and argues for interpretable models where possible.","Trustworthy AI","Useful for limitations, ethical risk, and practical implications."
11,"Bhatt et al. (2020)","Explainable Machine Learning in Deployment","Conference paper","Discusses deployment challenges, stakeholder needs, explanation monitoring, and operational issues in real-world AI systems.","Practical implications","Relevant for applied XAI and real-world implementation."
12,"Gunning and Aha (2019)","DARPA's Explainable Artificial Intelligence Program","Journal article","Describes the goals of XAI research, including interpretable models, user understanding, and explanation effectiveness.","Explainable AI","Useful for foundations, opportunities, and human-centered evaluation."
13,"NIST (2023)","Artificial Intelligence Risk Management Framework","Framework document","Provides governance-oriented guidance related to trustworthy AI, risk management, accountability, transparency, and responsible use.","Fairness and accountability","Supports governance and trustworthy AI discussion."
14,"Bussmann et al. (2020)","Explainable AI in Credit Risk Management","Journal article","Discusses finance AI, credit risk, model transparency, accountability, and practical implications for regulated decision-making.","Finance AI","Relevant for finance, governance, and applied XAI."
15,"Apruzzese et al. (2023)","Explainable AI for Cybersecurity","Survey article","Reviews cybersecurity AI uses where explanations can support analyst understanding, trust, and investigation of model alerts.","Cybersecurity AI","Relevant for practical implications and human-centered security work."
16,"Atakishiyev et al. (2024)","Explainable Artificial Intelligence for Autonomous Driving","Survey article","Reviews XAI for autonomous systems, including safety, human trust, decision explanation, and evaluation challenges.","Autonomous systems","Relevant for practical implications, trust, and limitations."
